Date,pro1,pro2,pro3,pro4,lumbini,Karnali,Supa,Antigen,Total,sum,cum,pro1,,,pro2,,,pro3,,,pro4,,,pro5,,,pro6,,,pro7,,,,P1,P2,P3,P4,P5,P6,P7,,Active(Nepal),AP1,AP2,AP3,AP4,AP5,AP6,AP7,,St,S1,S2,S3,S4,S5,S6,S7,,kathamandu,Lalitpur,bhaktapur,Valley,,Aktm,Alalitpur,Abhaktapur,Avalley,,Stktm,Stlalit,Stbhaktapur,,IHHS,Ratio
3/14/2021,3,0,27,16,5,1,1,0,53,53,53,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,IIS,ICU,Vent,,3,0,27,16,5,1,1,,,,,,,,,,,,,,,,,,,,19,2,1,22,,,,,,,,,,,#VALUE!,
3/24/2021,13,7,73,33,10,6,3,0,145,145,1211,,,,,,,,,,,,,,,,,,,,,,,13,7,73,33,10,6,3,,,,,,,,,,,,,,,,,,,,53,8,2,63,,,,,,,,,,,0,#DIV/0!
3/25/2021,7,1,68,23,13,3,5,0,120,120,1331,,,,,,,,,,,,,,,,,,,,,,,7,1,68,23,13,3,5,,,,,,,,,,,,,,,,,,,,41,5,19,65,,,,,,,,,,,0,#DIV/0!
3/26/2021,6,1,91,37,15,2,4,0,156,156,1487,,,,,,,,,,,,,,,,,,,,,,,6,1,91,37,15,2,4,,,,,,,,,,,,,,,,,,,,55,9,2,66,,,,,,,,,,,0,#DIV/0!
3/27/2021,3,1,52,10,16,0,3,0,85,85,1572,,,,,,,,,,,,,,,,,,,,,,,3,1,52,10,16,0,3,,,,,,,,,,,26000000,4766923,5871066,6026626,2472494,4831638,1701081,2760947,,37,8,5,50,,,,,,,,,,,0,#DIV/0!
3/28/2021,3,1,71,4,10,0,0,0,89,89,1661,,,,,,,,,,,,,,,,,,,,,,,3,1,71,4,10,0,0,,,,,,,,,,,,,,,,,,,,52,7,6,65,,,,,,,,,,,0,#DIV/0!
3/29/2021,4,6,61,44,11,1,14,0,141,141,1802,,,,,,,,,,,,,,,,,,,,,,,4,6,61,44,11,1,14,,1802,88,48,1035,402,170,19,40,,25998198,4766835,5871018,6025591,2472092,4831468,1701062,2760907,,50,7,1,58,,,,,,,,,,,0,#DIV/0!
3/30/2021,2,1,114,39,8,0,3,0,167,167,1969,,,,,,,,,,,,,,,,,,,,,,,2,1,114,39,8,0,3,,1916,87,49,1122,425,173,18,42,,25998031,4766833,5871017,6025477,2472053,4831460,1701062,2760904,,78,7,4,89,,,,,,,,,,,0,0
3/31/2021,7,1,74,43,24,3,10,0,162,162,2131,,,,,,,,,,,,,,,,,,,,,,,7,1,74,43,24,3,10,,1999,88,50,1150,453,187,20,51,,25997869,4766826,5871016,6025403,2472010,4831436,1701059,2760894,,50,13,4,67,,,,,,,,,,,0,0
1/4/2021,3,4,93,27,21,1,3,0,152,152,2283,,,,,,,,,,,,,,,,,,,,,,,3,4,93,27,21,1,3,,2037,86,54,1181,448,196,18,54,,25997717,4766823,5871012,6025310,2471983,4831415,1701058,2760891,,73,8,5,86,,,,,,,,,,,0,0
2/4/2021,9,2,106,33,16,1,12,0,179,179,2462,,,,,,,,,,,,,,,,,,,,,,,9,2,106,33,16,1,12,,2122,90,52,1225,470,202,19,64,,25997538,4766814,5871010,6025204,2471950,4831399,1701057,2760879,,78,8,8,94,,,,,,,,,,,0,0
3/4/2021,6,10,76,4,19,12,1,0,128,128,2590,,,,,,,,,,,,,,,,,,,,,,,6,10,76,4,19,12,1,,2143,86,55,1235,456,216,31,64,,25997410,4766808,5871000,6025128,2471946,4831380,1701045,2760878,,57,10,2,69,,,,,,,,,,,0,0
4/4/2021,19,1,103,37,18,5,1,0,176,184,2766,,,,,,,,,,,,,,,,,,,,,,,19,1,103,37,18,5,1,,2194,98,52,1287,439,228,35,63,,25997234,4766789,5870999,6025025,2471909,4831362,1701040,2760877,,87,8,4,99,,,,,,,,,,,0,0
5/4/2021,9,8,179,36,25,2,7,0,266,266,3032,,,,,,,,,,,,,,,,,,,,,,,9,8,179,36,25,2,7,,2381,106,60,1404,469,244,37,69,,25996968,4766780,5870991,6024846,2471873,4831337,1701038,2760870,,98,26,13,137,,,,,,,,,,,0,0
6/4/2021,9,13,163,37,32,4,2,0,260,260,3292,,,,,,,,,,,,,,,,,,,,,,,9,13,163,37,32,4,2,,2564,113,69,1523,485,270,41,71,,25996708,4766771,5870978,6024683,2471836,4831305,1701034,2760868,,108,33,8,149,,,,,,,,,,,0,0
7/4/2021,18,14,178,34,34,1,19,0,298,298,3590,,,,,,,,,,,,,,,,,,,,,,,18,14,178,34,34,1,19,,2712,127,73,1605,502,282,42,89,,25996410,4766753,5870964,6024505,2471802,4831271,1701033,2760849,,132,26,8,166,,,,,,,,,,,0,0
8/4/2021,22,22,185,62,29,3,9,0,332,332,3922,,,,,,,,,,,,,,,,,,,,,,,22,22,185,62,29,3,9,,2856,140,93,1687,503,301,44,96,,25996078,4766731,5870942,6024320,2471740,4831242,1701030,2760840,,139,22,7,168,,,,,,,,,,,0,0
9/4/2021,20,11,141,38,59,14,5,0,288,288,4210,,,,,,,,,,,,,,,,,,,,,,,20,11,141,38,59,14,5,,2999,147,97,1755,508,350,52,98,,25995790,4766711,5870931,6024179,2471702,4831183,1701016,2760835,,117,9,3,129,,,,,,,,,,,0,0
10/4/2021,26,24,191,22,63,2,9,0,337,337,4547,,,,,,,,,,,,,,,,,,,,,,,26,24,191,22,63,2,9,,3216,166,120,1878,507,400,51,102,,25995453,4766685,5870907,6023988,2471680,4831120,1701014,2760826,,116,20,4,140,,,,,,,,,,,0,0
11/4/2021,22,5,162,51,46,13,4,0,303,303,4850,,,,,,,,,,,,,,,,,,,,,,,22,5,162,51,46,13,4,,3363,182,124,1949,521,431,62,102,,25995150,4766663,5870902,6023826,2471629,4831074,1701001,2760822,,128,15,11,154,,,,,,,,,,,444,0.138059701
12/4/2021,22,5,162,51,46,13,4,0,303,303,5153,4,1,0,0,0,0,256,54,14,36,0,0,42,35,0,2,1,0,110,1,1,,22,5,162,51,46,13,4,,3581,201,128,2059,562,461,75,103,,25994847,4766641,5870897,6023664,2471578,4831028,1700988,2760818,,159,44,8,211,,,,,,,,,,,413,0.122807018
4/13/2021,32,44,235,36,122,6,21,63,559,559,5712,4,2,0,2,0,0,288,41,15,36,0,0,26,52,4,0,0,0,57,2,1,,36.06451613,49.58870968,264.8487903,40.57258065,137.4959677,6.762096774,23.66733871,,4051,234.0645161,176.5887097,2252.84879,598.5725806,588.4959677,81.76209677,126.6673387,,25994288,4766609,5870853,6023429,2471542,4830906,1700982,2760797,,161,28,12,201,,,,,,,,,,,456,0.127338732
4/14/2021,44,62,215,38,58,14,29,57,517,517,6229,5,2,0,2,0,0,297,41,18,30,0,0,84,36,5,0,0,0,39,1,2,,49.45217391,69.6826087,241.6413043,42.70869565,65.18695652,15.73478261,32.59347826,,4427,279.51669,240.2713184,2433.490095,597.2812763,642.6829243,96.49687938,145.260817,,25993771,4766565,5870791,6023214,2471504,4830848,1700968,2760768,,173,61,20,254,,,,,,,2000000,1500000,500000,4000000,481,0.118736115
4/15/2021,24,27,206,67,133,20,13,44,534,534,6763,10,5,1,7,4,0,286,37,24,30,0,0,103,40,8,4,4,0,50,1,2,,26.15510204,29.4244898,224.4979592,73.01632653,144.9428571,21.79591837,14.16734694,,4794,303.6717921,268.6958082,2543.988054,631.2976028,779.6257814,118.2927978,156.4281639,,25993237,4766541,5870764,6023008,2471437,4830715,1700948,2760755,2/1/2022,145,43,8,196,,1698,353,116,2167,,1997427,1499472,496681,3993580,504,0.113846849
4/16/2021,43,52,385,62,238,11,45,64,900,900,7663,9,2,1,2,2,0,292,46,21,30,8,1,102,36,12,4,4,0,68,2,3,,46.29186603,55.98086124,414.4736842,66.74641148,256.2200957,11.84210526,48.44497608,,5532,342.9636581,323.6766694,2884.461738,655.0440143,1011.845877,127.134903,194.87314,,25992337,4766498,5870712,6022623,2471375,4830477,1700937,2760710,3/1/2022,286,43,19,348,,1906,388,127,2421,,1997141,1499429,496333,3992903,573,0.119524406
4/17/2021,32,91,436,28,109,32,40,75,843,843,8506,9,2,0,7,7,0,301,44,26,42,3,1,133,30,14,6,5,1,81,3,3,,35.125,99.88671875,478.578125,30.734375,119.6445313,35.125,43.90625,,6223,375.0886581,419.5633882,3270.039863,658.7783893,1110.490408,161.259903,235.77939,,25991494,4766466,5870621,6022187,2471347,4830368,1700905,2760670,4/1/2022,312,74,9,395,,2161,452,134,2747,,1996829,1499355,495938,3992122,561,0.101409978
4/18/2021,60,70,475,84,272,31,23,81,1096,1096,9602,16,7,1,7,7,0,297,60,28,42,3,1,125,30,11,8,6,2,81,3,3,,64.78817734,75.5862069,512.9064039,90.70344828,293.7064039,33.47389163,24.83546798,,7140,430.8768355,493.1495951,3676.946267,716.4818376,1388.196812,193.7337946,248.614858,,25990398,4766406,5870551,6021712,2471263,4830096,1700874,2760647,5/1/2022,326,64,44,434,,2400,508,174,3082,,1996503,1499291,495504,3991298,573,0.092077776
4/19/2021,64,80,692,85,204,8,94,54,1281,1281,10883,17,8,1,7,7,0,289,71,27,46,4,1,115,40,10,13,7,2,100,11,2,,66.81662592,83.5207824,722.4547677,88.7408313,212.9779951,8.35207824,98.13691932,,8293,491.6934614,566.6703775,4323.401035,801.2226689,1582.174807,190.0858729,345.7517773,,25989117,4766342,5870471,6021020,2471178,4829892,1700866,2760553,6/1/2022,505,97,32,634,,2807,579,193,3579,,1995998,1499194,494870,3990062,657,0.092016807
4/20/2021,110,99,775,56,521,27,79,69,1736,1736,12619,24,8,1,16,7,0,326,72,30,39,1,1,148,57,11,21,10,1,111,5,1,,114.5530894,103.0977804,807.0785843,58.31793641,542.565087,28.11757648,82.26994601,,9853,587.2465508,668.7681579,5027.479619,822.5406053,2106.739894,213.2034494,427.0217233,,25987381,4766232,5870372,6020245,2471122,4829371,1700839,2760474,7/1/2022,550,105,35,690,,3249,651,220,4120,,1995448,1499089,494180,3988717,805,0.097069818
4/21/2021,107,169,1148,186,507,74,29,131,2351,2351,14970,31,11,0,15,7,0,347,70,32,40,1,1,192,68,10,24,16,1,187,7,3,,113.313964,178.9725225,1215.742342,196.9756757,536.9175676,78.36666667,30.71126126,,11938,691.5605147,839.7406804,6064.221961,983.516281,2618.657462,289.570116,450.7329846,,25985030,4766125,5870203,6019097,2470936,4828864,1700765,2760445,8/1/2022,786,181,84,1051,,3903,806,296,5005,,1994662,1498908,493129,3986699,990,0.100477012
4/22/2021,179,127,1278,76,566,23,116,63,2428,2428,17398,29,8,0,23,0,0,450,67,41,40,1,1,276,68,14,27,16,0,170,10,3,,183.7682875,130.3830867,1312.043975,78.02452431,581.0773784,23.61268499,119.0900634,,14106,866.3288022,957.1237671,7213.265936,1024.540805,3167.73484,309.182801,567.823048,,25982602,4765946,5870076,6017819,2470860,4828298,1700742,2760329,9/1/2022,987,106,81,1174,,4751,890,370,6011,,1993675,1498802,491955,3984432,1107,0.0927291
4/23/2021,107,157,1053,112,785,118,117,110,2559,2559,19957,43,11,0,32,0,0,497,72,39,60,1,1,291,65,14,25,14,0,198,10,3,,111.8060433,164.0518579,1100.296856,117.0306247,820.2592895,123.3001225,122.2552062,,16367,960.1348455,1107.175625,8135.562792,1107.57143,3953.99413,431.4829235,671.0782542,,25980043,4765839,5869919,6016766,2470748,4827513,1700624,2760212,10/1/2022,760,106,74,940,,5394,987,441,6822,,1992915,1498696,491015,3982626,1280,0.090741528
4/24/2021,77,128,1067,110,921,46,137,133,2619,2619,22576,50,14,0,44,7,0,540,83,49,56,5,1,377,74,16,29,16,0,220,14,3,,81.11946903,134.8479485,1124.084071,115.8849558,970.2731295,48.4609815,144.3294449,,18654,1019.254315,1220.023574,9074.646863,1161.456386,4895.267259,476.943905,806.4076991,,25977424,4765762,5869791,6015699,2470638,4826592,1700578,2760075,11/1/2022,644,141,87,872,,5922,1108,524,7554,,1992271,1498555,490143,3980969,1537,0.093908474
4/25/2021,178,168,1585,183,720,153,44,90,3122,3121,25698,78,21,0,44,9,0,683,127,44,56,5,1,434,64,16,29,16,0,270,10,4,,183.2853844,172.9884527,1632.063675,188.4338502,741.3790828,157.5430551,45.30649951,,21488,1182.539699,1382.012026,10565.71054,1311.890236,5577.646342,620.4869601,846.7141986,,25974302,4765584,5869623,6014114,2470455,4825872,1700425,2760031,12/1/2022,1132,270,96,1498,,6926,1363,609,8898,,1991139,1498285,488645,3978069,1850,0.09917444
4/26/2021,244,193,2153,151,544,17,140,114,3556,3556,29254,97,24,1,44,9,0,744,119,49,107,5,1,502,75,23,30,16,0,375,20,4,,252.0813481,199.3922138,2224.30796,156.0011621,562.0174317,17.56304474,144.636839,,24707,1408.621047,1557.40424,12599.0185,1445.891398,6076.663774,636.0500049,982.3510376,,25970746,4765340,5869430,6011961,2470304,4825328,1700408,2759891,1/13/2022,1567,223,122,1912,,8334,1542,723,10599,,1989572,1498062,486733,3974367,2818,0.131142964
4/27/2021,179,178,2207,214,1368,116,102,160,4524,4524,33778,99,26,1,50,8,0,886,152,57,54,5,1,1267,75,21,53,29,0,464,20,4,,185.5627864,184.5261228,2287.91659,221.8460128,1418.15582,120.2529789,105.7396884,,28928,1572.183833,1736.930363,14724.93509,1616.737411,7448.819594,743.3029838,1084.090726,,25966222,4765161,5869252,6009754,2470090,4823960,1700292,2759789,1/14/2022,1602,240,124,1966,,9775,1754,835,12364,,1987970,1497822,484767,3970559,2288,0.092605335
4/28/2021,242,291,2335,344,1133,169,260,123,4897,4897,38675,115,32,3,46,8,0,997,138,64,127,5,1,590,83,22,60,29,4,429,22,4,,248.235023,298.4974864,2395.160243,352.863008,1162.191244,173.3542103,266.6987851,,33522,1798.418856,2030.427849,16958.09533,1918.600419,8565.010839,903.6571941,1346.789511,,25961325,4764919,5868961,6007419,2469746,4822827,1700123,2759529,1/15/2022,1464,351,232,2047,,11066,2044,1047,14157,,1986506,1497471,482720,3966697,3101,0.107197179
4/29/2021,280,326,1883,212,1451,179,500,97,4928,4928,43603,144,36,6,51,10,0,1104,156,67,257,5,1,1048,87,21,71,23,5,526,20,7,,285.6220244,332.5456427,1920.808114,216.2566756,1480.134134,182.5940799,510.0393293,,37891,2047.976365,2313.384782,18614.05466,2094.284514,9907.649005,1079.489177,1833.161502,,25956397,4764639,5868635,6005536,2469534,4821376,1699944,2759029,1/16/2022,1127,252,182,1561,,12048,2253,1221,15522,,1985379,1497219,481159,3963757,2529,0.075442993
4/30/2021,324,309,3259,81,1411,136,137,70,5727,5727,49330,185,40,6,66,9,2,1063,144,72,68,5,1,611,84,20,108,27,7,577,22,7,,328.0091922,312.8235814,3299.327028,82.00229804,1428.459784,137.6828708,138.6952448,,43101,2326.533383,2556.525755,21671.74038,2133.578116,11270.92183,1201.437265,1939.263268,,25950670,4764315,5868326,6002277,2469453,4819965,1699808,2758892,1/17/2022,2404,419,133,2956,,14166,2629,1335,18130,,1982975,1496800,478203,3957978,3020,0.079702304
1/5/2021,180,282,3022,418,1430,155,219,57,5763,5763,55093,166,46,10,90,24,2,1229,196,63,107,5,1,753,77,19,109,31,7,656,22,8,,181.7981073,284.8170347,3052.188223,422.1756046,1444.284963,156.5483701,221.1876972,,48330,2482.176388,2811.9183,24499.43064,2482.737394,12570.26394,1336.189717,2146.283618,,25944907,4764135,5868044,5999255,2469035,4818535,1699653,2758673,1/18/2022,1932,355,208,2495,,15786,2910,1534,20230,,1981043,1496445,475708,3953196,3301,0.07658755
2/5/2021,437,603,4120,152,1249,225,351,74,7211,7211,62304,282,54,14,97,24,2,1486,154,77,107,5,1,772,77,21,113,33,7,673,30,9,,441.5310354,609.2522068,4162.718229,153.5760123,1261.950259,227.332913,354.6393443,,54641,2877.415558,3365.189645,28247.67519,2569.566995,13575.9941,1551.680525,2452.477987,,25937696,4763698,5867441,5995135,2468883,4817286,1699428,2758322,1/19/2022,2744,550,301,3595,,18204,3396,1791,23391,,1978299,1495895,472113,3946307,3734,0.077260501
3/5/2021,587,327,4132,528,1518,42,254,60,7448,7448,69752,304,89,16,135,24,2,1824,320,88,156,5,1,763,78,18,113,32,7,574,30,10,,591.76719,329.6556578,4165.55712,532.2880347,1530.3281,42.34109367,256.0628045,,61246,3434.057748,3594.958585,31934.65418,3071.120655,14986.67767,1558.896619,2664.634541,,25930248,4763111,5867114,5991003,2468355,4815768,1699386,2758068,1/20/2022,2922,522,222,3666,,20621,3821,1981,26423,,1975377,1495373,468447,3939197,3926,0.071850808
4/5/2021,607,436,4578,418,1009,213,326,73,7660,7660,77412,311,93,18,138,24,2,1893,325,124,179,44,2,769,69,16,345,32,7,643,29,10,,612.8403849,440.1950705,4622.04824,422.0218795,1018.708317,215.0494267,329.1366812,,67810,3982.109955,3959.567448,36043.79602,3402.439086,15711.67958,1740.472154,2968.935754,,25922588,4762504,5866678,5986425,2467937,4814759,1699173,2757742,1/21/2022,2779,601,513,3893,,22850,4317,2459,29626,,1972598,1494772,464554,3931924,4415,0.07208634
5/5/2021,658,498,4519,493,1830,202,405,54,8659,8659,86071,249,99,20,186,24,2,1660,301,88,192,44,2,1337,76,23,411,33,10,729,23,11,,662.1292272,501.1251598,4547.358629,496.0937827,1841.484021,203.2676351,407.5415456,,75188,4577.422556,4377.171826,39868.69988,3809.792038,17340.18561,1935.38771,3278.340381,,25913929,4761846,5866180,5981906,2467444,4812929,1698971,2757337,1/22/2022,2849,518,458,3825,,24913,4654,2833,32400,,1969749,1494254,460729,3924732,4885,0.072039522
6/5/2021,612,473,4519,610,2165,280,311,100,9070,9070,95141,403,107,17,193,24,2,1911,349,125,227,38,13,1451,77,20,276,33,12,854,24,12,,618.8227425,478.2731327,4569.379041,616.8004459,2189.136009,283.1215162,314.4671126,,82522,5081.69221,4752.347178,43631.00034,4368.274547,18986.75653,2190.39165,3510.537547,,25904859,4761234,5865707,5977387,2466834,4810764,1698691,2757026,1/23/2022,3163,567,242,3972,,27089,5115,2994,35198,,1966586,1493687,456757,3917030,5502,0.073176571
7/5/2021,715,433,4994,799,1622,54,406,173,9196,9196,104337,458,104,19,193,46,12,2258,379,139,513,63,14,1283,74,22,303,33,12,852,29,13,,728.7088551,441.302006,5089.751081,814.319406,1653.098969,55.0353541,413.7843289,,89367,5697.087101,5014.676661,47505.00908,4985.618277,20102.93793,2167.060338,3893.610615,,25895663,4760519,5865274,5972393,2466035,4809142,1698637,2756620,1/24/2022,3089,643,374,4106,,29418,5652,3294,38364,,1963497,1493044,452651,3909192,5145,0.06234701
8/5/2021,768,396,3774,385,1985,757,222,131,8418,8418,112755,516,104,20,367,63,35,1682,386,120,212,61,13,1488,82,20,272,33,10,938,29,13,,780.140461,402.2599252,3833.658984,391.0860384,2016.378665,768.9665742,225.509352,,95357,6293.459274,5286.5535,50026.62408,5298.679791,21538.23922,2912.414227,4000.029904,,25887245,4759751,5864878,5968619,2465650,4807157,1697880,2756398,1/25/2022,2270,462,381,3113,,31044,5973,3588,40605,,1961227,1492582,449538,3903347,6362,0.071189589
9/5/2021,541,429,4966,641,1225,277,698,73,8850,8850,121605,557,113,17,367,60,37,2318,443,157,131,61,13,2067,86,21,327,33,11,963,36,11,,545.4996012,432.5680757,5007.303179,646.3313205,1235.188561,279.3038624,703.8054005,,101648,6727.152832,5555.069717,53933.63041,5827.980487,21953.16849,3068.417967,4581.580098,,25878395,4759210,5864449,5963653,2465009,4805932,1697603,2755700,1/26/2022,3161,533,504,4198,,33073,6236,3996,43305,,1958066,1492049,445340,3895455,6379,0.06689598
10/5/2021,815,553,4520,773,1557,56,853,144,9271,9271,130876,581,117,17,387,60,37,2347,502,192,93,76,11,2005,86,16,312,33,11,990,36,11,,827.8585516,561.7248822,4591.313685,785.1959023,1581.565356,56.88353238,866.4580914,,108300,7473.891915,5981.946651,57400.86002,6497.291434,22564.46072,3076.840517,5303.708744,,25869124,4758395,5863896,5959133,2464236,4804375,1697547,2754847,1/27/2022,2775,505,327,3607,,34281,6518,4201,45000,,1955291,1491544,441733,3888568,6748,0.066385959
11/5/2021,862,440,4655,643,1878,429,410,166,9483,9483,140359,581,127,29,414,60,37,2894,529,184,119,82,11,1635,160,13,346,102,8,1105,24,8,,877.3581625,447.8394333,4737.937641,654.4562627,1911.460127,436.6434475,417.3049265,,114661,8167.964693,6256.797632,60506.73399,6963.313846,23734.54176,3355.94091,5675.707171,,25859641,4757533,5863456,5954478,2463593,4802497,1697118,2754437,1/28/2022,2788,602,537,3927,,35467,6880,4614,46961,,1952503,1490942,437806,3881251,6815,0.062927054
12/5/2021,891,342,4636,520,1640,328,881,67,9305,9305,149664,680,162,38,498,180,41,2499,502,164,157,87,15,1779,163,6,377,101,8,1301,46,13,,897.462113,344.480407,4669.623295,523.7713791,1651.894349,330.3788699,887.3895865,,120410,8813.345458,6401.885825,62952.04932,7331.084063,24824.41868,3668.756735,6418.459919,,25850336,4756642,5863114,5949842,2463073,4800857,1696790,2753556,1/29/2022,3250,448,226,3924,,37253,6977,4608,48838,,1949253,1490494,433882,3873629,8390,0.073172221
5/13/2021,883,613,4334,540,1300,425,747,118,8960,8960,158624,738,180,53,498,179,53,3247,638,231,200,80,18,2479,136,13,380,110,8,1286,50,14,,894.7839855,621.1807283,4391.83895,547.2065144,1317.349016,430.6717937,756.9690115,,124846,9522.566657,6838.540431,65055.97168,7656.444565,24723.61187,3979.17555,7069.689242,,25841376,4755759,5862501,5945508,2462533,4799557,1696365,2752809,1/30/2022,2733,481,348,3562,,38859,7206,4774,50839,,1946520,1490013,430320,3866853,7995,0.06639814
5/14/2021,905,499,4307,630,1134,472,520,53,8520,8520,167144,824,190,55,525,189,40,3104,542,220,163,92,53,2205,164,16,386,108,6,1260,49,15,,910.6649345,502.1235384,4333.96008,633.9435455,1141.098382,474.9545293,523.25499,,128469,10184.99657,7042.166483,66994.77152,7937.525102,24702.51901,4280.775869,7326.245447,,25832856,4754854,5862002,5941201,2461903,4798423,1695893,2752289,1/31/2022,2458,556,335,3349,,38913,7343,4976,51232,,1944062,1489457,426971,3860490,7452,0.059689538
5/15/2021,695,474,3474,586,1785,290,742,121,8167,8167,175311,826,192,54,533,199,48,3137,554,219,246,98,20,1279,140,11,515,101,8,1433,48,10,,705.4517773,481.1282625,3526.243848,594.8125777,1811.843773,294.3611733,753.1585881,,131708,10604.82632,7190.749102,68600.20725,8316.081004,25034.22865,4392.542962,7569.364706,,25824689,4754159,5861528,5937727,2461317,4796638,1695603,2751547,1/2/2022,2146,444,347,2937,,39127,7432,5115,51674,,1941916,1489013,424034,3854963,7393,0.057546957
5/16/2021,740,596,3457,293,1182,413,635,52,7368,7368,182679,782,176,47,447,188,48,3230,584,230,113,98,20,1311,122,15,459,96,8,1466,49,12,,745.2597048,600.2361946,3481.57135,295.0825588,1190.401312,415.9354839,639.5133953,,133349,11022.07683,7478.161716,68782.45157,8529.161265,24796.17018,4670.795575,8070.182856,,25817321,4753419,5860932,5934270,2461024,4795456,1695190,2750912,2/2/2022,1881,436,292,2609,,38264,7318,5106,50688,,1940035,1488577,421425,3850037,6536,0.049624928
5/17/2021,1219,724,3622,795,1448,337,1053,49,9247,9247,191926,775,174,52,447,207,57,2144,529,223,194,116,33,1435,133,18,441,81,8,1534,39,9,,1225.493912,727.8569254,3641.295282,799.2351598,1455.713851,338.7952816,1058.609589,,136833,12065.77264,7921.201606,69371.55863,8906.22082,24807.59907,4853.042487,8907.604748,,25808074,4752200,5860208,5930648,2460229,4794008,1694853,2749859,3/2/2022,2346,454,298,3098,,37688,7250,5182,50120,,1937689,1488123,418327,3844139,6939,0.052036386
5/18/2021,1234,515,3921,650,1042,458,316,67,8203,8203,200129,853,194,43,687,225,46,2468,791,224,260,113,24,1242,144,16,430,82,7,1507,41,10,,1244.161996,519.2410275,3953.289454,655.3527532,1050.580875,461.7716323,318.6022616,,137825,12868.4036,7831.190427,69162.12986,9407.997561,24596.22968,5087.481206,8871.567665,,25799871,4750966,5859693,5926727,2459579,4792966,1694395,2749543,4/2/2022,2049,365,221,2635,,36958,7014,4890,48862,,1935640,1487758,415692,3839090,7017,0.051281489
5/19/2021,1203,735,3263,647,1040,358,818,109,8173,8173,208302,886,208,26,810,212,55,2360,801,235,271,133,34,1174,153,15,397,68,8,1549,43,8,,1219.260789,744.9348958,3307.105531,655.7454117,1054.05754,362.8390377,829.0567956,,138550,13495.8972,8246.469665,68303.67827,9531.454938,24119.95912,5407.97915,9444.561656,,25791698,4749763,5858958,5923464,2458932,4791926,1694037,2748725,5/2/2022,1988,270,228,2486,,36097,6766,4660,47523,,1933652,1487488,413206,3834346,7443,0.054003265
5/20/2021,877,534,3737,353,1666,491,630,78,8366,8366,216668,866,191,56,811,225,51,2494,940,314,260,133,36,1398,153,15,391,68,8,1594,47,12,,885.2536197,539.0255792,3772.169643,356.3221525,1681.679054,495.6208977,635.9290541,,139256,13768.31043,8345.300174,67453.79967,9465.755211,24782.92986,5688.550621,9751.354029,,25783332,4748886,5858424,5919727,2458579,4790260,1693546,2748095,6/2/2022,2600,403,229,3232,,35534,6602,4647,46783,,1931052,1487085,409974,3828111,7194,0.051923493
5/21/2021,1258,485,3703,755,1096,270,840,200,8607,8607,225275,1011,211,81,804,209,51,2469,907,312,279,142,33,1394,146,16,359,59,8,1382,42,10,,1287.927441,496.538004,3791.093256,772.9612228,1122.07351,276.4232187,859.9833472,,139204,14394.10865,8340.713018,66697.5343,9742.622651,24063.51935,5761.706205,10203.79583,,25774725,4747628,5857939,5916024,2457824,4789164,1693276,2747255,7/2/2022,1752,400,295,2447,,34197,6359,4568,45124,,1929300,1486685,407527,3823512,7304,0.052450164
5/22/2021,1104,574,3873,369,1032,616,1023,389,8980,8980,234255,1033,222,92,774,191,56,2443,922,311,210,143,32,1511,172,17,367,37,8,1355,45,7,,1153.989058,599.9906879,4048.369224,385.7082994,1078.728902,643.8924456,1069.321383,,139114,14929.27496,8462.430573,66176.52448,9511.530505,22953.11224,6122.477134,10958.6501,,25765745,4746524,5857365,5912151,2457455,4788132,1692660,2746232,8/2/2022,1811,328,179,2318,,33738,6225,4366,44329,,1927489,1486357,405209,3819055,7052,0.050659464
5/23/2021,770,529,3461,913,1300,356,269,316,7914,7914,242169,940,255,58,762,197,51,2288,869,308,209,144,27,1430,155,21,390,59,8,1330,42,11,,802.0242169,551.0010529,3604.942616,950.9715715,1354.06686,370.8060016,280.187681,,137832,15002.59032,8572.12962,64691.71602,9648.18267,22654.08013,6438.247782,10825.05345,,25757831,4745754,5856836,5908690,2456542,4786832,1692304,2745963,9/2/2022,1761,694,366,2821,,32338,6386,4228,42952,,1925728,1485663,402388,3813779,7005,0.050354386
5/24/2021,822,526,3829,905,702,152,284,205,7425,7425,249594,936,234,41,748,192,47,2392,859,307,215,151,30,1374,161,23,375,59,8,1336,41,11,,845.3393352,540.934903,3937.718144,930.6959834,721.932133,156.3157895,292.0637119,,136839,15067.7892,8710.804598,64795.77518,10187.79262,21359.6336,5825.596997,10891.60781,,25750406,4744932,5856310,5904861,2455637,4786130,1692152,2745679,10/2/2022,1806,681,298,2785,,31369,6562,4199,42130,,1923922,1484982,399603,3808507,8459,0.061371815
5/25/2021,1069,510,4030,1152,697,232,697,249,8636,8636,258230,936,210,53,705,186,38,3102,849,279,748,156,34,1411,180,22,347,55,7,1557,36,14,,1100.737332,525.1412901,4149.645881,1186.201502,717.6930965,238.8878026,717.6930965,,136625,15623.02693,8803.377812,63938.11788,10727.6628,20842.13814,5785.180937,10905.49551,,25741770,4743863,5855800,5900831,2454485,4785433,1691920,2744982,11/2/2022,1863,427,323,2613,,30444,6387,3985,40816,,1922059,1484555,396990,3803604,8079,0.059040186
