0,11.000006946
1,34.50000438
2,58.000001814
3,73.00000134
4,136.000002996
5,189.999993996
6,250.999999362
7,247.500001296
8,269.00000244
9,360.000006858
10,460.999992726
11,531.999997776
12,551.000008116
13,651.000004956
14,629.000064
15,536.999997618
16,400.000005594
17,443.99999691
18,480.999992094
19,428.999997384
20,448.000007724
21,452.000000304
22,433.000008198
23,323.999946
24,229.000003704
25,189.999993996
26,186.000001416
27,199.99999368
28,199.000004652
29,146.00000268
30,119.999996208
31,119.999996208
32,116.999992656
33,101.000004102
34,104.000007654
35,99.000007812
36,98.00000055
37,74.99999763
38,56.999994552
39,56.999994552
40,66.000005208
